Album,url
Meteora,https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193
Don't Let Me Down,https://i.scdn.co/image/ab67616d0000b2737902f8291faaf747063ec1b2
Sweet Talker (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273930f686fe89425c7b6bf9a7d
A Head Full of Dreams,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6
Vente Pa' Ca (feat. Maluma),https://i.scdn.co/image/ab67616d0000b2733d90f5938459be40b7b6652a
F.A.M.E.,https://i.scdn.co/image/ab67616d0000b27322ad9f1afdbeeceaf0c91686
Ubuntu,https://i.scdn.co/image/ab67616d0000b2738cf2d98b8cee7a46488a3c25
Doo-Wops & Hooligans,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b
This Is Acting (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837
The Heist,https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d
KILL THIS LOVE,https://i.scdn.co/image/ab67616d0000b273e20e5c366b497518353497b0
Esto Sí Es Cumbia,https://i.scdn.co/image/ab67616d0000b2733616f5d3c8e4e13081d14bde
lovely (with Khalid),https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c
Swalla (feat. Nicki Minaj & Ty Dolla $ign),https://i.scdn.co/image/ab67616d0000b2739d6522bee68370fa5592301d
Grateful,https://i.scdn.co/image/ab67616d0000b2737b219c19829e83a86cc9786c
Get Rich Or Die Tryin',https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf
Mylo Xyloto,https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d
Nothing but the Beat 2.0,https://i.scdn.co/image/ab67616d0000b273a197a2ef3ad6704d1f44aa4e
BE,https://i.scdn.co/image/ab67616d0000b273ad57982065339f7dc2058efe
The Fame Monster (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa
ADN,https://i.scdn.co/image/ab67616d0000b273c5c0424134778b0f0191aed2
MAP OF THE SOUL : PERSONA,https://i.scdn.co/image/ab67616d0000b27318d0ed4f969b376893f9a38f
TROLLS (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b273d965d29d7dcf46ade5a8a7e4
Nevermind (Remastered),https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf
Human (Deluxe),https://i.scdn.co/image/ab67616d0000b27380c64a084164867806ea617a
Odisea,https://i.scdn.co/image/ab67616d0000b273b0a875d7f1bfe4ec4aaffa48
Hunting High and Low,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53
The Eminem Show,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
VIVES,https://i.scdn.co/image/ab67616d0000b273575fb66ec11e54fb68d548a5
Motion,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f
A Night At The Opera (Deluxe Remastered Version),https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a
At Night Alone.,https://i.scdn.co/image/ab67616d0000b2731db27fa11dbafa67857da8f3
Fénix,https://i.scdn.co/image/ab67616d0000b273d77dbcd4dbd37cdfa61771fa
How Deep Is Your Love,https://i.scdn.co/image/ab67616d0000b273f4956c3ceefc6fa1cffc6da6
Tik Tock Hits 2020,https://i.scdn.co/image/ab67616d0000b273e31b35e72c2a225058cf215f
SQUARE ONE,https://i.scdn.co/image/ab67616d0000b273ff4ec21d7817138cabcc19bc
Halcyon Nights,https://i.scdn.co/image/ab67616d0000b273a8f674745d4e6757a9b35ba0
Invasion of Privacy,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab
The Truth About Love,https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f
Handwritten,https://i.scdn.co/image/ab67616d0000b273d26246b23c8bfa8ce543b3bb
In The Lonely Hour,https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae
