artist,url
Maluma,https://i.scdn.co/image/ab6761610000e5eb39e39ba2b3216cda7146afa5
Piso 21,https://i.scdn.co/image/ab6761610000e5eb586f64944a50e3df327c3f02
Ryan Lewis,https://i.scdn.co/image/ab6761610000e5eb3c2f1ba4c1a3de141e63d775
Macklemore,https://i.scdn.co/image/ab6761610000e5eb488b3b242f97163a7f8e17b9
Los Ángeles Azules,https://i.scdn.co/image/ab6761610000e5eb8d751eb2c4670d689d23734e
Billie Eilish,https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf
Khalid,https://i.scdn.co/image/ab6761610000e5eb31072db9da0311ecfabe96bf
Ty Dolla $ign,https://i.scdn.co/image/ab6761610000e5ebd9dde4a54073dbd58fb91c7d
Jason Derulo,https://i.scdn.co/image/ab6761610000e5eb2ca27dcc7f92e9576126bb18
DJ Khaled,https://i.scdn.co/image/ab6761610000e5eb084f36c2ae2da4a02494e1e5
50 Cent,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2
David Guetta,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f
BTS,https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a
Lady Gaga,https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf
Manuel Turizo,https://i.scdn.co/image/ab6761610000e5ebabd3e69b432d6187cf4e28c3
Halsey,https://i.scdn.co/image/ab6761610000e5ebd707e1c5177614c4ec95a06c
Justin Timberlake,https://i.scdn.co/image/ab6761610000e5eb9d3f9efc8e0030306e583cef
Nirvana,https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b
a-ha,https://i.scdn.co/image/ab6761610000e5ebae81417d966e209b735b1160
Sebastian Yatra,https://i.scdn.co/image/ab6761610000e5eb650a498358171e1990efeeff
Carlos Vives,https://i.scdn.co/image/ab6761610000e5eb3f8afb80776947db4a9378e2
Queen,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
Mike Posner,https://i.scdn.co/image/ab6761610000e5eb5ca6c70cd9661b2eca98999f
Cardi B,https://i.scdn.co/image/ab6761610000e5ebb06326b1297d8aa321832805
P!nk,https://i.scdn.co/image/ab6761610000e5eb7bbad89a61061304ec842588
Sam Smith,https://i.scdn.co/image/ab6761610000e5eba8eef8322e55fc49ab436eea
Carly Rae Jepsen,https://i.scdn.co/image/ab6761610000e5eb8272bf414106646e0e4a89f3
James Arthur,https://i.scdn.co/image/ab6761610000e5eb2a0c6d0343c82be9dd6fce0b
French Montana,https://i.scdn.co/image/ab6761610000e5eb4817f2b6ca81e55e2c1f79d9
Wisin,https://i.scdn.co/image/ab6761610000e5ebb5496c4b788e181679069ee8
Camila Cabello,https://i.scdn.co/image/ab6761610000e5ebec05963eab63676a539fef13
Tanishk Bagchi,https://i.scdn.co/image/ab6761610000e5eb6fd9a57911c47be245fe4dcc
Gente De Zona,https://i.scdn.co/image/ab6761610000e5eb98574d3d27516d0f38175daa
Drake,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
Arctic Monkeys,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
Descemer Bueno,https://i.scdn.co/image/ab6761610000e5eb6f17687bd4458a6145f95fc3
Super Simple Songs,https://i.scdn.co/image/ab6761610000e5eb47e877323b9ed3e02aad1499
Arcángel,https://i.scdn.co/image/ab6761610000e5ebafdf17286a0d7a23ad388587
Rahat Fateh Ali Khan,https://i.scdn.co/image/ab6761610000e5ebac45eaf028dc58810df0f382
Thalia,https://i.scdn.co/image/ab6761610000e5ebada3773282adf9b0452d2cf9
One Direction,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
Bradley Cooper,https://i.scdn.co/image/ab6761610000e5eb9400a1dccee9f0df97847c0f
Pitbull,https://i.scdn.co/image/ab6761610000e5ebee07b5820dd91d15d397e29c
Tyga,https://i.scdn.co/image/ab6761610000e5eb1d8e3ecf59f556b8e4fafce8
Ha*Ash,https://i.scdn.co/image/ab6761610000e5eb5ac5fe3493b3614f5e6b5162
6ix9ine,https://i.scdn.co/image/ab6761610000e5eb7b113c043124cddf04397e77
Prince Royce,https://i.scdn.co/image/ab6761610000e5eb8e4cdd611905c632aa8e5e52
Lukas Graham,https://i.scdn.co/image/ab6761610000e5ebd16592d1ece4a2706d6b6d65
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715
Whitney Houston,https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51
Rick Astley,https://i.scdn.co/image/ab6761610000e5ebef34f4cfef524a703ccad877
The Cranberries,https://i.scdn.co/image/143c01f407ed64a4b3bcbc92d24c05ef80981251
Nelly,https://i.scdn.co/image/3677690af58abb70a5c5fd58d69db4d1ad705d4f
Steve Aoki,https://i.scdn.co/image/ab6761610000e5eb5fb007a707c0ec3a7c1726af
Michael Jackson,https://i.scdn.co/image/ab6761610000e5eb0e08ea2c4d6789fbf5cbe0aa
Christian Nodal,https://i.scdn.co/image/ab6761610000e5eb812448def68448aa5893d73b
Jubin Nautiyal,https://i.scdn.co/image/ab6761610000e5ebc58e9665446297c3be1a0ae0
Ariana Grande,https://i.scdn.co/image/ab6761610000e5ebcdce7620dc940db079bf4952
Dr. Dre,https://i.scdn.co/image/83d2489cade1dadcdc533ddbcd74993d0ca6d4cb
Skrillex,https://i.scdn.co/image/ab6761610000e5eb61f92702ca14484aa263a931
Diplo,https://i.scdn.co/image/ab6761610000e5ebdf01727aa674ddefa777797a
System Of A Down,https://i.scdn.co/image/ab6761610000e5eb60063d3451ade8f9fab397c2
Neha Kakkar,https://i.scdn.co/image/ab6761610000e5eb18134412c2bea1faf213fc6d
AC/DC,https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37
Felix Jaehn,https://i.scdn.co/image/ab6761610000e5ebba8ad9259eacd80937326f7c
Bon Jovi,https://i.scdn.co/image/ab6761610000e5eb0b8d424042d51bb8ee412ffe
Metallica,https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44
Zara Larsson,https://i.scdn.co/image/ab6761610000e5eb08601936accce3aca5ec1a89
Myke Towers,https://i.scdn.co/image/ab6761610000e5eb9e35c3c5de877f99a8f6192f
Migos,https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34
Backstreet Boys,https://i.scdn.co/image/ab6761610000e5ebb0d44bc6f830e443d7501a8c
Coolio,https://i.scdn.co/image/ab6761610000e5eb5ea53fc78df8f7e7559e228d
Paulo Londra,https://i.scdn.co/image/ab6761610000e5ebbdcfc4ed6729fd1e4b63bdba
Lenny Tavárez,https://i.scdn.co/image/ab6761610000e5eb2ad58df23a7cfc14a8506535
Guru Randhawa,https://i.scdn.co/image/ab6761610000e5eb763eb4c279c361127cd79700
Miley Cyrus,https://i.scdn.co/image/ab6761610000e5ebb5af3b38f053486ab0784dee
Cyndi Lauper,https://i.scdn.co/image/ab6761610000e5eb5744116186e523c459e8c9e1
Lil Jon,https://i.scdn.co/image/ab6761610000e5eba12641edfc4ffbbdf58f7d15
Evanescence,https://i.scdn.co/image/ab6761610000e5eb7ecf213c7dd78e0049379c5b
Marc Anthony,https://i.scdn.co/image/ab6761610000e5eb0d2a15cbb584652b8cba9214




